Summary: Accuracy: 0.8327702702702703, Precision: 0.8634686346863468, Recall: 0.7905405405405406, F1: 0.8253968253968254


Classification Answers Comparison:

Review_Identifier | Gold | Prediction
15241 | 0 | 0
15252 | 1 | 1
15301 | 1 | 1
15332 | 1 | 1
15333 | 1 | 0
15334 | 1 | 1
15361 | 1 | 1
15362 | 0 | 0
15363 | 0 | 0
15364 | 0 | 0
15371 | 0 | 1
15381 | 1 | 1
15382 | 0 | 0
15383 | 1 | 1
15384 | 0 | 0
15385 | 0 | 0
15386 | 1 | 1
15388 | 0 | 0
15389 | 0 | 0
153810 | 0 | 0
153811 | 0 | 1
153812 | 0 | 0
153813 | 0 | 0
153814 | 0 | 0
153816 | 1 | 1
153817 | 0 | 0
153818 | 0 | 0
15391 | 1 | 1
15421 | 1 | 1
15422 | 1 | 1
15423 | 0 | 0
15431 | 1 | 1
15432 | 0 | 0
15441 | 1 | 1
15442 | 0 | 0
15443 | 1 | 1
15451 | 1 | 1
15455 | 1 | 1
15456 | 1 | 0
15481 | 1 | 1
15482 | 1 | 0
15492 | 1 | 1
15496 | 1 | 1
154914 | 1 | 1
154915 | 1 | 1
15521 | 1 | 1
15522 | 1 | 1
15541 | 1 | 1
15551 | 1 | 0
15554 | 1 | 1
15561 | 1 | 1
15585 | 1 | 1
15587 | 1 | 1
15588 | 1 | 1
15589 | 1 | 1
155813 | 0 | 0
155815 | 1 | 1
15591 | 1 | 1
15592 | 0 | 0
15601 | 0 | 0
15602 | 0 | 0
15603 | 0 | 0
15621 | 1 | 1
15631 | 0 | 0
15632 | 1 | 1
15641 | 0 | 1
15642 | 0 | 0
15661 | 0 | 0
15671 | 0 | 0
15672 | 0 | 0
15673 | 0 | 0
15674 | 0 | 0
15675 | 0 | 0
15714 | 1 | 1
15721 | 1 | 1
15731 | 1 | 1
15732 | 1 | 1
15733 | 1 | 1
15734 | 1 | 1
15735 | 1 | 0
15736 | 0 | 0
15741 | 0 | 0
15751 | 0 | 0
15771 | 0 | 1
15772 | 1 | 0
15773 | 1 | 0
15781 | 1 | 1
15782 | 1 | 1
15791 | 1 | 1
15801 | 1 | 1
15803 | 0 | 0
15804 | 1 | 1
15805 | 0 | 1
15806 | 0 | 0
15808 | 0 | 1
15812 | 1 | 1
15821 | 1 | 1
15853 | 1 | 1
15892 | 1 | 0
15893 | 1 | 1
15894 | 0 | 0
15895 | 1 | 1
15896 | 1 | 0
15897 | 1 | 1
15898 | 1 | 1
15899 | 1 | 1
158910 | 1 | 1
158911 | 0 | 0
158912 | 0 | 0
158913 | 0 | 0
15901 | 0 | 0
15902 | 0 | 1
15903 | 1 | 1
15904 | 0 | 0
15911 | 1 | 1
15912 | 1 | 1
15921 | 0 | 0
15922 | 0 | 0
15941 | 1 | 1
15951 | 1 | 0
15963 | 1 | 0
15992 | 1 | 0
16004 | 1 | 1
160012 | 0 | 0
160013 | 0 | 0
16021 | 0 | 0
16031 | 0 | 0
16032 | 0 | 0
16033 | 0 | 0
16034 | 0 | 0
16035 | 0 | 0
16036 | 1 | 1
16037 | 1 | 1
16038 | 0 | 0
16039 | 0 | 0
160310 | 1 | 1
160311 | 0 | 0
160312 | 1 | 1
160313 | 0 | 0
16041 | 0 | 0
16051 | 0 | 0
16052 | 0 | 0
16053 | 1 | 1
16061 | 1 | 0
16062 | 0 | 0
16063 | 0 | 0
16071 | 0 | 0
16072 | 0 | 0
16073 | 0 | 0
16075 | 0 | 0
16076 | 0 | 0
16077 | 1 | 1
16079 | 0 | 0
160710 | 0 | 0
160711 | 1 | 1
160712 | 1 | 1
160713 | 0 | 0
160714 | 1 | 1
160716 | 0 | 1
160717 | 1 | 1
160718 | 1 | 0
160719 | 1 | 1
160721 | 0 | 0
160722 | 1 | 1
160723 | 0 | 0
160724 | 0 | 0
160725 | 0 | 0
16081 | 0 | 0
16082 | 0 | 0
16091 | 0 | 0
16092 | 0 | 0
16101 | 0 | 1
16111 | 0 | 0
16112 | 0 | 0
16113 | 0 | 0
16114 | 1 | 1
16115 | 0 | 1
16116 | 0 | 0
16121 | 0 | 1
16131 | 1 | 1
16133 | 0 | 1
16134 | 0 | 0
16151 | 0 | 0
16152 | 0 | 0
16191 | 0 | 0
16192 | 0 | 1
16193 | 0 | 1
16194 | 1 | 1
16195 | 0 | 0
16196 | 1 | 0
16197 | 0 | 0
16198 | 0 | 0
16199 | 0 | 1
16201 | 1 | 1
16221 | 0 | 0
16222 | 1 | 1
16223 | 1 | 1
16241 | 1 | 1
16242 | 1 | 1
16251 | 1 | 1
16252 | 1 | 1
16254 | 1 | 1
16255 | 1 | 1
16256 | 0 | 0
16257 | 0 | 1
16258 | 1 | 1
16259 | 1 | 1
162510 | 0 | 0
162511 | 0 | 1
162512 | 1 | 1
162513 | 0 | 0
162514 | 0 | 0
162515 | 0 | 0
162516 | 0 | 1
162517 | 0 | 1
162518 | 0 | 1
162519 | 1 | 0
162520 | 1 | 1
162521 | 1 | 1
16261 | 0 | 0
16271 | 0 | 0
16272 | 1 | 1
16273 | 1 | 1
16274 | 0 | 0
16275 | 1 | 1
16276 | 0 | 0
16277 | 0 | 0
16278 | 0 | 0
16279 | 0 | 0
162710 | 0 | 0
162711 | 1 | 1
162712 | 0 | 0
162713 | 0 | 0
162714 | 0 | 1
162715 | 0 | 0
162716 | 0 | 0
162717 | 1 | 0
162718 | 1 | 1
16281 | 0 | 0
16291 | 0 | 0
16301 | 0 | 0
16311 | 0 | 0
16321 | 0 | 0
16322 | 0 | 0
16331 | 1 | 1
16332 | 1 | 1
16333 | 0 | 0
16334 | 1 | 0
16335 | 0 | 1
16336 | 0 | 0
16337 | 0 | 0
16341 | 0 | 0
16342 | 1 | 1
16344 | 0 | 0
16345 | 0 | 0
16347 | 0 | 0
16348 | 0 | 0
16349 | 1 | 1
163410 | 0 | 0
163411 | 0 | 0
163412 | 1 | 1
163413 | 0 | 0
163414 | 0 | 0
163415 | 1 | 1
163416 | 0 | 0
16351 | 1 | 1
16352 | 0 | 0
16353 | 0 | 0
16354 | 0 | 0
16355 | 1 | 1
16356 | 1 | 1
16357 | 0 | 0
16359 | 1 | 1
163510 | 0 | 0
163512 | 1 | 1
16371 | 0 | 0
16381 | 0 | 0
16391 | 0 | 0
16401 | 0 | 0
16402 | 0 | 0
16403 | 1 | 0
16411 | 0 | 0
16421 | 0 | 0
16442 | 0 | 0
16451 | 0 | 0
16452 | 1 | 1
16453 | 1 | 1
16454 | 1 | 1
16455 | 0 | 0
16457 | 1 | 1
16461 | 1 | 1
16471 | 1 | 1
16502 | 1 | 1
16521 | 1 | 1
16531 | 1 | 1
16532 | 1 | 1
16541 | 1 | 0
16571 | 1 | 1
16581 | 1 | 1
16582 | 1 | 1
16583 | 1 | 1
16587 | 1 | 1
16588 | 1 | 0
16591 | 1 | 1
16601 | 1 | 1
